pair_name,family,approx_model_name,target_model_name,task,prompt_id,gamma,top_k,top_p,temperature,max_tokens,baseline_large_tps,baseline_large_elapsed_ms,avg_target_baseline_generate_ms_per_token,baseline_small_tps,speculative_tps,speedup,rounds,generated_tokens,accepted_count,resample_count,target_sample_count,proposed_draft_tokens,acceptance_rate,all_accept_round_rate,resample_round_rate,avg_accepted_per_round,avg_contributed_per_round,avg_draft_generate_ms_per_round,avg_target_verify_ms_per_round,draft_generate_ms_total,target_verify_ms_total
distilgpt2_to_gpt2_medium,gpt2,distilgpt2,gpt2-medium,continuation,continuation_0,2,50,0.0,1.0,64,98.810234,657.8266,10.120409,,125.00012,1.265052,23,65,42,2,21,46,0.913043,0.913043,0.086957,1.826087,2.826087,8.059148,12.615887,185.3604,290.1654
distilgpt2_to_gpt2_medium,gpt2,distilgpt2,gpt2-medium,continuation,continuation_0,2,50,0.9,1.0,64,87.563039,730.902,11.420344,,111.71275,1.275798,22,64,42,1,21,44,0.954545,0.954545,0.045455,1.909091,2.909091,9.747736,14.369882,214.4502,316.1374
distilgpt2_to_gpt2_medium,gpt2,distilgpt2,gpt2-medium,continuation,continuation_0,2,100,0.0,1.0,64,103.987921,615.4561,9.616502,,120.07534,1.154705,24,64,40,5,19,48,0.833333,0.791667,0.208333,1.666667,2.666667,7.759992,12.479342,186.2398,299.5042
distilgpt2_to_gpt2_medium,gpt2,distilgpt2,gpt2-medium,continuation,continuation_0,2,100,0.9,1.0,64,102.699917,623.1748,9.737106,,116.391422,1.133316,24,64,40,5,19,48,0.833333,0.791667,0.208333,1.666667,2.666667,8.439792,12.666633,202.555,303.9992
distilgpt2_to_gpt2_medium,gpt2,distilgpt2,gpt2-medium,continuation,continuation_0,4,50,0.0,1.0,64,101.927496,637.7082,9.810895,,161.535231,1.584805,13,65,52,0,13,52,1.0,1.0,0.0,4,5,14.813862,12.993662,192.5802,168.9176
distilgpt2_to_gpt2_medium,gpt2,distilgpt2,gpt2-medium,continuation,continuation_0,4,50,0.9,1.0,64,109.017075,623.7555,9.172875,,119.61329,1.097198,17,68,51,7,10,68,0.75,0.588235,0.411765,3,4,16.273606,14.268229,276.6513,242.5599
distilgpt2_to_gpt2_medium,gpt2,distilgpt2,gpt2-medium,continuation,continuation_0,4,100,0.0,1.0,64,96.579396,673.0214,10.354175,,128.701021,1.332593,16,65,49,4,12,64,0.765625,0.75,0.25,3.0625,4.0625,15.240344,13.391713,243.8455,214.2674
distilgpt2_to_gpt2_medium,gpt2,distilgpt2,gpt2-medium,continuation,continuation_0,4,100,0.9,1.0,64,102.045417,656.5704,9.799558,,136.344887,1.33612,14,67,53,2,12,56,0.946429,0.857143,0.142857,3.785714,4.785714,17.136329,14.760221,239.9086,206.6431
distilgpt2_to_gpt2_medium,gpt2,distilgpt2,gpt2-medium,continuation,continuation_0,6,50,0.0,1.0,64,102.934195,631.4714,9.714945,,162.538603,1.579054,10,65,55,2,8,60,0.916667,0.8,0.2,5.5,6.5,21.66303,13.96467,216.6303,139.6467
distilgpt2_to_gpt2_medium,gpt2,distilgpt2,gpt2-medium,continuation,continuation_0,6,50,0.9,1.0,64,83.510742,814.2665,11.974507,,76.90633,0.920915,17,68,51,12,5,102,0.5,0.294118,0.705882,3,4,28.190488,20.173629,479.2383,342.9517
