pair_name,family,approx_model_name,target_model_name,task,prompt_id,gamma,top_k,top_p,temperature,max_tokens,baseline_large_tps,baseline_large_elapsed_ms,avg_target_baseline_generate_ms_per_token,baseline_small_tps,speculative_tps,speedup,rounds,generated_tokens,accepted_count,resample_count,target_sample_count,proposed_draft_tokens,acceptance_rate,all_accept_round_rate,resample_round_rate,avg_accepted_per_round,avg_contributed_per_round,avg_draft_generate_ms_per_round,avg_target_verify_ms_per_round,draft_generate_ms_total,target_verify_ms_total
qwen25_0p5b_to_3b,qwen2.5,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-3B,continuation,continuation_0,2,50,0.0,1.0,64,8.300388,7951.4358,120.4763,,15.688417,1.890082,23,66,43,2,21,46,0.934783,0.913043,0.086957,1.869565,2.869565,48.503274,131.698548,1115.5753,3029.0666
qwen25_0p5b_to_3b,qwen2.5,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-3B,continuation,continuation_0,2,50,0.9,1.0,64,7.945085,8181.1585,125.863977,,12.714395,1.600284,22,65,43,1,21,44,0.977273,0.954545,0.045455,1.954545,2.954545,56.062282,173.434505,1233.3702,3815.5591
qwen25_0p5b_to_3b,qwen2.5,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-3B,continuation,continuation_0,2,100,0.0,1.0,64,8.305305,7705.9177,120.404964,,15.148445,1.823948,24,64,40,5,19,48,0.833333,0.791667,0.208333,1.666667,2.666667,45.793392,127.736004,1099.0414,3065.6641
qwen25_0p5b_to_3b,qwen2.5,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-3B,continuation,continuation_0,2,100,0.9,1.0,64,8.434522,7587.8636,118.560369,,13.573959,1.609334,23,64,41,3,20,46,0.891304,0.869565,0.130435,1.782609,2.782609,61.10057,141.288909,1405.3131,3249.6449
qwen25_0p5b_to_3b,qwen2.5,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-3B,continuation,continuation_0,4,50,0.0,1.0,64,8.550719,7601.6996,116.949225,,23.683622,2.769781,13,65,52,0,13,52,1.0,1.0,0.0,4,5,85.946077,121.391669,1117.299,1578.0917
qwen25_0p5b_to_3b,qwen2.5,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-3B,continuation,continuation_0,4,50,0.9,1.0,64,8.486124,7541.7235,117.83943,,16.767902,1.97592,14,64,50,3,11,56,0.892857,0.785714,0.214286,3.571429,4.571429,109.785657,158.967679,1536.9992,2225.5475
qwen25_0p5b_to_3b,qwen2.5,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-3B,continuation,continuation_0,4,100,0.0,1.0,64,8.699286,7816.7338,114.951968,,21.200028,2.436985,15,68,53,4,11,60,0.883333,0.733333,0.266667,3.533333,4.533333,85.2481,124.84476,1278.7215,1872.6714
qwen25_0p5b_to_3b,qwen2.5,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-3B,continuation,continuation_0,4,100,0.9,1.0,64,8.917349,7625.5843,112.140946,,20.029054,2.246077,16,68,52,5,11,64,0.8125,0.6875,0.3125,3.25,4.25,84.576831,123.956987,1353.2293,1983.3118
qwen25_0p5b_to_3b,qwen2.5,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-3B,continuation,continuation_0,6,50,0.0,1.0,64,8.742257,7435.1512,114.386942,,18.023434,2.061645,14,65,51,7,7,84,0.607143,0.5,0.5,3.642857,4.642857,127.43765,126.0095,1784.1271,1764.133
qwen25_0p5b_to_3b,qwen2.5,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-3B,continuation,continuation_0,6,50,0.9,1.0,64,9.121794,7564.3013,109.627555,,19.925959,2.184434,13,69,56,6,7,78,0.717949,0.538462,0.461538,4.307692,5.307692,130.539554,131.386346,1697.0142,1708.0225
