pair_name,family,gamma,top_k,top_p,trials,baseline_large_tps,baseline_large_elapsed_ms,avg_target_baseline_generate_ms_per_token,speculative_tps,speedup,acceptance_rate,all_accept_round_rate,resample_round_rate,avg_accepted_per_round,avg_contributed_per_round,avg_draft_generate_ms_per_round,avg_target_verify_ms_per_round,draft_generate_ms_total,target_verify_ms_total,rounds,generated_tokens
qwen25_0p5b_to_3b,qwen2.5,6,100,0.0,6,8.785522666666667,7743.898016666667,113.99261983333334,22.743157,2.5846585,0.8541373333333334,0.7245923333333334,0.2754076666666667,5.1248249999999995,6.124824999999999,137.08802916666667,128.31574666666666,1534.1082833333332,1434.2065666666667,11.166666666666666,68.0
qwen25_0p5b_to_3b,qwen2.5,4,50,0.0,6,8.573799,7703.189583333334,116.73323750000002,21.80539416666667,2.5443256666666665,0.9450396666666666,0.9182538333333333,0.08174616666666668,3.780158833333333,4.780158833333334,89.77464166666665,125.86233733333331,1242.3850666666667,1742.3546333333334,13.833333333333334,66.0
qwen25_0p5b_to_3b,qwen2.5,6,50,0.0,6,8.691605000000001,7715.368583333333,115.25039583333331,21.902715999999998,2.5237931666666666,0.8036963333333333,0.7041958333333334,0.2958041666666667,4.822177666666666,5.822177666666666,133.578583,127.22857966666668,1551.040283333333,1482.1257666666668,11.666666666666666,67.0
qwen25_0p5b_to_3b,qwen2.5,4,100,0.0,6,8.493042666666666,7775.945433333333,117.84739466666667,21.1959835,2.495544666666667,0.9299601666666666,0.8246029999999999,0.175397,3.7198411666666664,4.719841166666666,92.25543166666667,126.88004383333333,1289.6575833333334,1775.8451166666666,14.0,66.0
qwen25_0p5b_to_3b,qwen2.5,6,50,0.9,6,8.747613833333334,7703.916733333333,114.49974616666668,20.687772999999996,2.368421666666667,0.7771628333333332,0.6538851666666666,0.3461148333333333,4.662975833333333,5.662975833333334,138.469023,130.79933516666665,1661.5957666666666,1568.6237333333336,12.0,67.33333333333333
qwen25_0p5b_to_3b,qwen2.5,4,50,0.9,6,8.483006666666668,7707.836633333333,118.0164865,19.066043,2.2431603333333334,0.8554066666666666,0.7814481666666667,0.2185518333333333,3.4216269999999995,4.421627,95.61487299999999,134.20746799999998,1418.6559333333332,1989.56635,14.833333333333334,65.33333333333333
qwen25_0p5b_to_3b,qwen2.5,6,100,0.9,6,8.711491666666666,7749.66955,114.81880116666667,19.1298475,2.1989725,0.738433,0.5934343333333333,0.40656566666666666,4.430597166666666,5.430597166666666,143.77075433333334,136.70853233333332,1798.5954666666667,1709.1624000000002,12.5,67.5
qwen25_0p5b_to_3b,qwen2.5,4,100,0.9,6,8.510961,7739.098266666667,117.605081,18.437877,2.1658151666666665,0.8158116666666665,0.7362160000000001,0.26378399999999996,3.263247,4.263247,95.82938100000001,132.20839716666669,1478.5748666666668,2048.1868666666664,15.5,65.83333333333333
qwen25_0p5b_to_3b,qwen2.5,2,100,0.0,6,8.386909333333335,7816.371116666666,119.35013249999999,16.162647666666665,1.9260249999999999,0.947601,0.9368686666666667,0.06313133333333333,1.895202,2.895202,48.268443,128.42061833333332,1093.2608833333334,2911.5656,22.666666666666668,65.5
qwen25_0p5b_to_3b,qwen2.5,2,50,0.0,6,8.390210666666666,7814.803016666666,119.33354050000001,15.872440000000003,1.8921493333333335,0.9462286666666667,0.9205366666666667,0.07946333333333334,1.892457,2.8924570000000003,49.68151950000001,130.47660716666664,1127.2997333333335,2960.549083333333,22.666666666666668,65.5
qwen25_0p5b_to_3b,qwen2.5,2,100,0.9,6,8.4037765,7678.569383333333,119.05069866666668,15.084503166666666,1.7942131666666665,0.8946006666666665,0.8584408333333333,0.14155916666666665,1.7892018333333333,2.7892018333333333,51.55400933333334,132.02030583333334,1195.9026166666667,3061.8550666666665,23.166666666666668,64.5
qwen25_0p5b_to_3b,qwen2.5,2,50,0.9,6,8.246690833333334,7931.646816666666,121.410435,14.558469666666666,1.7628390000000003,0.9023414999999999,0.8594288333333333,0.14057116666666666,1.8046825,2.8046825,51.539029166666666,140.204974,1201.8826666666666,3266.9719,23.333333333333332,65.33333333333333
