pair_name,family,approx_model_name,target_model_name,task,prompt_id,gamma,top_k,top_p,temperature,max_tokens,baseline_large_tps,baseline_small_tps,speculative_tps,speedup,rounds,generated_tokens,accepted_count,resample_count,target_sample_count,proposed_draft_tokens,acceptance_rate,all_accept_round_rate,resample_round_rate,avg_accepted_per_round,avg_contributed_per_round,avg_draft_generate_ms_per_round,avg_target_verify_ms_per_round,draft_generate_ms_total,target_verify_ms_total
distilgpt2_to_gpt2_medium,gpt2,distilgpt2,gpt2-medium,summarization,summarization_1,2,20,0.0,1.0,64,54.392755,,49.262207,0.905676,27,65,38,9,18,54,0.703704,0.666667,0.333333,1.407407,2.407407,20.102347,27.471466,542.76337,741.729578
distilgpt2_to_gpt2_medium,gpt2,distilgpt2,gpt2-medium,summarization,summarization_1,2,20,0.9,1.0,64,50.447264,,36.262951,0.718829,25,66,41,6,19,50,0.82,0.76,0.24,1.64,2.64,31.738586,39.708304,793.464641,992.707596
distilgpt2_to_gpt2_medium,gpt2,distilgpt2,gpt2-medium,summarization,summarization_1,2,50,0.0,1.0,64,55.592033,,50.675805,0.911566,27,66,39,10,17,54,0.722222,0.62963,0.37037,1.444444,2.444444,19.902053,27.028733,537.35543,729.775791
distilgpt2_to_gpt2_medium,gpt2,distilgpt2,gpt2-medium,summarization,summarization_1,2,50,0.9,1.0,64,53.54715,,35.510962,0.663172,28,65,37,13,15,56,0.660714,0.535714,0.464286,1.321429,2.321429,28.364512,35.720239,794.206335,1000.166694
distilgpt2_to_gpt2_medium,gpt2,distilgpt2,gpt2-medium,summarization,summarization_1,4,20,0.0,1.0,64,56.625799,,50.110817,0.884947,20,67,47,12,8,80,0.5875,0.4,0.6,2.35,3.35,33.805377,31.324671,676.107533,626.493423
distilgpt2_to_gpt2_medium,gpt2,distilgpt2,gpt2-medium,summarization,summarization_1,4,20,0.9,1.0,64,55.266131,,39.466627,0.71412,15,65,50,6,9,60,0.833333,0.6,0.4,3.333333,4.333333,55.463593,52.386555,831.953898,785.798319
distilgpt2_to_gpt2_medium,gpt2,distilgpt2,gpt2-medium,summarization,summarization_1,4,50,0.0,1.0,64,56.657715,,50.244754,0.886812,21,68,47,12,9,84,0.559524,0.428571,0.571429,2.238095,3.238095,32.756318,30.025019,687.882682,630.525409
distilgpt2_to_gpt2_medium,gpt2,distilgpt2,gpt2-medium,summarization,summarization_1,4,50,0.9,1.0,64,54.566766,,36.309603,0.665416,19,65,46,9,10,76,0.605263,0.526316,0.473684,2.421053,3.421053,47.652076,44.820065,905.389436,851.581242
distilgpt2_to_gpt2_medium,gpt2,distilgpt2,gpt2-medium,summarization,summarization_2,2,20,0.0,1.0,64,54.615792,,70.02646,1.282165,23,66,43,2,21,46,0.934783,0.913043,0.086957,1.869565,2.869565,16.499899,23.211047,379.497681,533.854091
distilgpt2_to_gpt2_medium,gpt2,distilgpt2,gpt2-medium,summarization,summarization_2,2,20,0.9,1.0,64,54.681593,,50.79027,0.928837,27,66,39,9,18,54,0.722222,0.666667,0.333333,1.444444,2.444444,19.750538,27.102662,533.264526,731.771872
distilgpt2_to_gpt2_medium,gpt2,distilgpt2,gpt2-medium,summarization,summarization_2,2,50,0.0,1.0,64,55.586204,,74.179975,1.334503,22,66,44,0,22,44,1.0,1.0,0.0,2,3,15.94386,23.233275,350.764923,511.132048
